Comment,Sentiment
"Traveled through Giza, Cairo, a 4 day “luxury” Nile Cruise from Aswan downriver to Luxor and took a 4 hour bus ride to Hurghada then flew home.",Positive
A positive post about Egypt on r/travel??,The sentiment of the sentence is positive.
What was your travel perspective that changed?,The sentiment of this sentence is neutral.
a 4 day “luxury” Nile Cruise,The sentiment of the sentence is positive.
I've always wanted to go but I've heard lately the harrassment from locals ruins it. How was you experience in that regard?,Neutral
Did you find out who built the pyramids?   And how?,This sentence does not express a sentiment; it is a question.
Wow.  Did u actual go in the hot air balloon? I cant imagine the views from there if the pic’s are this amazing from the ground 😊😊,The sentiment of the sentence is positive.
Your trip looks amazing.,Positive
"I’m so glad to see this. Two friends had very difficult circumstances traveling in Egypt in the past couple of years. The country relies on tourism for a significant portion of its GDP, I believe.",Positive
"This is so cool. I’ve always wanted to visit Egypt, but I’ve only heard negative trip reports. If you could share links to the cruise and Airbnbs it would be much appreciated!",The sentiment of the sentence is positive.
"How did this ""change your perspective on travel?""",Curious.
"Wow, gorgeous photos! I’ve always wanted to visit Egypt, it’s the first place I ever wanted to travel to, ever since seeing The Mummy when I was 7! Hopefully one day I’ll get to go ☺️ glad you enjoyed your time there!",The sentiment of this sentence is positive.
What's the bathroom situation like at the sites?,Neutral
"Those Airbnb views really are amazing. Can you share the listing, or maybe the neighborhood's name?",The sentiment of the sentence is positive.
Fantastic pics! Are those water pics the river?!,Positive
"Completely agree about the call to prayer. I experienced that in Morocco and Turkey and it gave me goose bumps. I got COVID in Sirince, Turkey and had to spend a week doing nothing but convalescing on the terrace of our house. Looking forward to the call to prayer helped save me from losing my mind.",The sentiment of this sentence is positive.
"I've been to Cairo and pyramids a couple of times and I must say if they left you to walk around alone simply because you said a polite no then you are one in a million. The hassle, hounding and audacious attempts to get your money is endemic in that place. It's organised and it's what ruins trips for most foreigners. I had folks literally following me through the bazaars repeatedly saying ""Dollar...dollar..dollar"" nice place with lots of history but the locals are just a nuisance",Negative
I did the exactly same trip. Back in Jan of 2022. It was incredible. Only downside is the obnoxious vendors and they have a more conservative culture. Sucked to be a woman but still an impressive trip,Mixed sentiment - the trip was incredible but there were drawbacks.
"We went to Cairo (stayed around Talaat Harb near the Museum) for about $40 AUD per night including a cooked breakfast.. We didn't stay in some walled off resort.. We had an amazing time, just learn to say 'no' and use Uber to get to Giza, we weren't hassled.. We never felt unsafe.. We walked from Talaat Harb to Khan el-Khalili for lunch and back again at night.. Sure people tried to sell us stuff, but if we weren't interested we just kept walking..",Positive
"Reading some of these comments, it's sad how so many have a negative view of Egypt. I've been twice now and have only ever been treated very good by locals there as a Brit who only speaks English, Cairo is chaotic but in the best ways, its so full of life and things to experience. Yes in most areas there are very poor people and when they see you're a foreigner will try to hustle you but you never feel unsafe and they will stop quickly when you say no and ignore them, they are on survival mode and don't mean you any harm.",The sentiment of this sentence is positive.
How much koshary did you devour?  That shit’s addictive,The sentiment of this sentence is enthusiasm.
Amazing! Can you recommend any tours or accommodations?,Positive
"These photos are stunning!! I would love to learn more about the history and sight see Egypt , especially Cairo…did you have time to go to any museums or tours in the four days?",The sentiment of the sentence is positive.
I am presuming most of these posts are from Americans. When we went in 2018 we were the only Americans at most of the locations. Some Germans too. Mostly visitors from neighboring mid East countries and tons of Chinese.,Neutral
Looks cool but I would never take my wife there. Heard too many bad stories,Negative
"Egypt is great, just got back from only a swimming holiday with the kids. Been there 8 times, explored everything. Never understood the hate against egypt…",Positive
So beautiful!,Positive
Care to share Airbnb info?,Neutral
what cruise company did you use?,Neutral
Where are you dining in the 3rd photo? That view is incredible.,Positive.
"Wow, that really looks beautiful!",Positive
Amazing!! One of my favourite places I've travelled to,Positive
"Pictures look great, honeslty I want to go to Egypt one day because the amount of history they have.",The sentiment of the sentence is positive.
Where is picture 2?,Neutral
Wowowoowow I need to out Egypt next on my list 😍,Positive
"I've booked a trip to Cairo in October. Can you  elaborate on how to get to the 9 pyramids lounge? It seems complicated. Also, We're dividing our time there between an inexpensive B&B in Giza (that pyramids view!) and a more upscale hotel in the Zamalek neighborhood. Do you think Giza is safe for staying in with a 9 year old?",The sentiment of this sentence is neutral.
Amazing shots OP! You have a great eye!,Positive
So beautiful definitely on my bucket list,Positive
"Egypt is a trip to the past, it is spectacular",Positive
People who haven’t been don’t get it. I’m glad you had a good time. I would go back without hesitation,Positive
"Egypt has always been one of my dream destinations until I read about it on forums etc. It seems that +90% of the visitors described it as a hell on earth full of scam touts, predators, and people that want to hurt you in any way possible.",Negative
"That water looks amazing, tell me more about it!",Positive
Damn this place has been on my list since age 6 watching “The Mummy”,Excited.
Is the call to prayer so loud it would wake you up?,Neutral
Thought I was the only person in the sub that had a good Egypt experience,Positive
"How is it to travel to Egypt as a gay man? I'd love to see it, but attitudes to gay people turns me off.",The sentiment of the sentence is ambivalent.
"I went last year and both Cairo and Alexandria were full of friendly people. That said, the area was extremely dirty. A lot of garbage on the road and in Alexandria in particular, you couldn't go a block without mounds of dirt/garbage/feces/oil. I love travelling and have been a lot of places. Egypt was very high on my list and I have to say, if you're going to travel there, do a lot of research on the neighbourhoods you stay in, and take your shots before going.",Generally negative
Amazing,Positive
"Hey I’m thinking about doing almost this exact trip in December. Any stand out tips, anything you’d do different? Do you recommend the cruise you took or maybe a different one?",This sentence conveys a positive sentiment of anticipation and consideration.
That’s such a cool background to have while eating,Positive.
